complaint_id,timestamp,ward_code,ward_name,issue_type,phone_number,latitude,longitude,status,is_duplicate,duplicate_parent_id,synthetic,seed,generator_version,generated_at
10001,2026-08-14T15:15:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,severe_dry_pipe,+91-9895029959,19.0527,72.9133,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10002,2026-08-14T07:16:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,severe_dry_pipe,+91-9827364756,19.0534,72.9163,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10003,2026-08-14T15:01:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9836234004,19.1323,72.83,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10004,2026-08-14T20:18:00Z,G/S,Worli / Lower Parel,low_pressure,+91-9816120364,19.01,72.8203,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10005,2026-08-14T17:48:00Z,G/S,Worli / Lower Parel,low_pressure,+91-9816125981,19.0109,72.8237,resolved,true,10004,true,42,2.0.0,2026-09-18T12:00:00Z
10006,2026-08-14T20:16:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9869060667,19.131,72.831,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10007,2026-08-14T07:45:00Z,N,Ghatkopar / Pant Nagar,contaminated_water,+91-9834833145,19.0825,72.9057,resolved,true,,true,42,2.0.0,2026-09-18T12:00:00Z
10008,2026-08-14T12:02:00Z,H/W,Bandra West / Khar,severe_dry_pipe,+91-9889147055,19.0573,72.8303,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10009,2026-08-14T12:28:00Z,G/N,Dharavi / Mahim / Dadar West,contaminated_water,+91-9833163507,19.0415,72.8467,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10010,2026-08-14T19:57:00Z,R/S,Kandivali West & East,tanker_delay,+91-9833104958,19.2107,72.8544,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10011,2026-08-14T20:31:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9830405720,19.1256,72.8343,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10012,2026-08-14T19:21:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9860747615,19.129,72.8332,resolved,true,10003,true,42,2.0.0,2026-09-18T12:00:00Z
10013,2026-08-14T14:30:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9816283089,19.1324,72.8339,resolved,true,10003,true,42,2.0.0,2026-09-18T12:00:00Z
10014,2026-08-14T16:15:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,contaminated_water,+91-9839093929,19.0544,72.9146,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10015,2026-08-14T17:59:00Z,K/W,Andheri West / Versova,contaminated_water,+91-9838302810,19.1322,72.8259,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10016,2026-08-14T19:35:00Z,K/W,Andheri West / Versova,pipeline_burst,+91-9893666895,19.1266,72.8295,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10017,2026-08-14T09:33:00Z,K/E,Andheri East / Marol,severe_dry_pipe,+91-9890853783,19.1093,72.8651,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10018,2026-08-14T11:35:00Z,L,Kurla / Asalpha / Sakinaka,severe_dry_pipe,+91-9868991344,19.0745,72.8858,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10019,2026-08-14T19:19:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9888245532,19.1236,72.8287,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10020,2026-08-14T14:39:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,severe_dry_pipe,+91-9844732915,19.0563,72.9169,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10021,2026-08-14T14:59:00Z,E,Byculla / Mazgaon / Nagpada,severe_dry_pipe,+91-9879467447,18.9767,72.8322,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10022,2026-08-14T18:21:00Z,C,Marine Lines / Chandanwadi,contaminated_water,+91-9815284681,18.9529,72.8246,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10023,2026-08-14T13:33:00Z,K/W,Andheri West / Versova,severe_dry_pipe,+91-9873386564,19.1302,72.8337,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10024,2026-08-14T20:36:00Z,G/S,Worli / Lower Parel,low_pressure,+91-9863175529,19.0014,72.8216,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10025,2026-08-14T19:09:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,contaminated_water,+91-9887431129,19.0519,72.9164,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10026,2026-08-14T09:41:00Z,K/E,Andheri East / Marol,pipeline_burst,+91-9818422464,19.1106,72.8676,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10027,2026-08-14T17:35:00Z,P/N,Malad / Marve / Malvani,severe_dry_pipe,+91-9864946979,19.1814,72.8503,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10028,2026-08-15T06:57:00Z,K/W,Andheri West / Versova,pipeline_burst,+91-9875654557,19.1277,72.8299,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
10029,2026-08-15T11:47:00Z,L,Kurla / Asalpha / Sakinaka,contaminated_water,+91-9856954278,19.076,72.887,resolved,false,,true,42,2.0.0,2026-09-18T12:00:00Z
