request_id,timestamp,ward_code,ward_name,requested_volume_liters,contact_phone,ward_vulnerability,latitude,longitude,status,synthetic,seed,generator_version,generated_at
50001,2026-08-14T22:37:00Z,T,Mulund / Nahur,10000,+91-9752232242,0.48,19.1675,72.9483,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50002,2026-08-14T15:26:00Z,D,Malabar Hill / Walkeshwar,2000,+91-9794024805,0.16,18.9552,72.8059,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50003,2026-08-14T06:15:00Z,K/E,Andheri East / Marol,10000,+91-9788631870,0.65,19.1167,72.8626,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50004,2026-08-14T21:43:00Z,G/S,Worli / Lower Parel,2000,+91-9750376592,0.36,19.0005,72.8177,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50005,2026-08-14T14:28:00Z,M/E,Govandi / Mankhurd / Shivaji Nagar,2000,+91-9725878546,0.96,19.0546,72.916,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50006,2026-08-14T08:40:00Z,D,Malabar Hill / Walkeshwar,10000,+91-9768549054,0.16,18.953,72.8139,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50007,2026-08-14T09:58:00Z,P/S,Goregaon West & East,2000,+91-9734483058,0.58,19.1629,72.8419,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50008,2026-08-14T07:10:00Z,E,Byculla / Mazgaon / Nagpada,10000,+91-9755493396,0.48,18.9691,72.8386,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50009,2026-08-14T14:28:00Z,G/S,Worli / Lower Parel,10000,+91-9787069305,0.36,19.0112,72.8139,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50010,2026-08-14T07:17:00Z,P/S,Goregaon West & East,10000,+91-9717035833,0.58,19.1545,72.8507,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50011,2026-08-14T17:17:00Z,F/S,Parel / Sewri / Lalbaug,5000,+91-9780108541,0.42,18.9991,72.8462,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50012,2026-08-14T21:49:00Z,T,Mulund / Nahur,2000,+91-9763719969,0.48,19.176,72.9525,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50013,2026-08-14T22:04:00Z,C,Marine Lines / Chandanwadi,1000,+91-9720358843,0.32,18.9541,72.8199,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50014,2026-08-14T19:08:00Z,P/S,Goregaon West & East,10000,+91-9742888768,0.58,19.1609,72.8509,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50015,2026-08-14T20:17:00Z,L,Kurla / Asalpha / Sakinaka,2000,+91-9719790747,0.88,19.0743,72.888,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50016,2026-08-14T07:14:00Z,D,Malabar Hill / Walkeshwar,1000,+91-9754006766,0.16,18.9535,72.8041,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50017,2026-08-14T17:48:00Z,B,Sandhurst Road / Dongri,1000,+91-9788333768,0.4,18.9546,72.8305,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50018,2026-08-14T17:26:00Z,R/C,Borivali / Gorai,10000,+91-9771573673,0.46,19.2352,72.8538,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50019,2026-08-14T22:09:00Z,H/E,Bandra East / Santacruz East,10000,+91-9729995074,0.71,19.0603,72.8544,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50020,2026-08-14T20:48:00Z,R/N,Dahisar / Mandapeshwar,5000,+91-9737296988,0.42,19.2619,72.8655,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50021,2026-08-14T13:49:00Z,M/W,Chembur West / Tilak Nagar,5000,+91-9728070084,0.55,19.0652,72.9032,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
50022,2026-08-14T21:01:00Z,T,Mulund / Nahur,5000,+91-9717121882,0.48,19.1694,72.9627,fulfilled,true,42,2.0.0,2026-09-18T12:00:00Z
